Wall time,Step,Value
1501136570.228273,340,1.0904936790466309
1501136570.427311,341,1.09028959274292
1501136570.632359,342,1.0900688171386719
1501136570.826872,343,1.0898438692092896
1501136571.026327,344,1.0896174907684326
1501136571.227137,345,1.0893690586090088
1501136571.425613,346,1.089138150215149
1501136571.628021,347,1.0888676643371582
1501136571.825428,348,1.0886112451553345
1501136572.031608,349,1.0883276462554932
1501136572.243481,350,1.088047981262207
1501136572.442468,351,1.087752342224121
1501136572.646899,352,1.0874649286270142
1501136572.839117,353,1.0871379375457764
1501136573.041383,354,1.0868215560913086
1501136573.242774,355,1.0864890813827515
1501136573.438328,356,1.086135745048523
1501136573.640371,357,1.0857858657836914
1501136573.836953,358,1.085395097732544
1501136574.033685,359,1.085012674331665
1501136574.24147,360,1.0846071243286133
1501136574.44405,361,1.0842092037200928
1501136574.645409,362,1.0837777853012085
1501136574.839438,363,1.0833299160003662
1501136575.047917,364,1.0828959941864014
1501136575.253927,365,1.0824226140975952
1501136575.449794,366,1.0819309949874878
1501136575.653978,367,1.0814299583435059
1501136575.844433,368,1.080938696861267
1501136576.07666,369,1.0804154872894287
1501136576.295029,370,1.0799123048782349
1501136576.494383,371,1.0793635845184326
1501136576.695457,372,1.078803300857544
1501136576.89383,373,1.0782740116119385
1501136577.096985,374,1.077684998512268
1501136577.302749,375,1.077129602432251
1501136577.502448,376,1.076520562171936
1501136577.7047,377,1.0759187936782837
1501136577.899271,378,1.075319528579712
1501136578.098866,379,1.0747097730636597
1501136578.300224,380,1.0741387605667114
1501136578.496693,381,1.073523998260498
1501136578.696656,382,1.0729351043701172
1501136578.890073,383,1.0723328590393066
1501136579.098533,384,1.0717071294784546
1501136579.302607,385,1.0710992813110352
1501136579.500722,386,1.0704933404922485
1501136579.702532,387,1.0699472427368164
1501136579.897931,388,1.0693007707595825
1501136580.102486,389,1.0687370300292969
1501136580.305877,390,1.068169355392456
1501136580.504149,391,1.067562222480774
1501136580.704791,392,1.0669963359832764
1501136580.900329,393,1.0663872957229614
1501136581.108449,394,1.0658077001571655
1501136581.310779,395,1.0652377605438232
1501136581.513678,396,1.064619541168213
1501136581.711699,397,1.0640431642532349
1501136581.908091,398,1.063466191291809
1501136582.109102,399,1.062888264656067
1501136582.320352,400,1.0622689723968506
1501136582.521724,401,1.0617066621780396
1501136582.719857,402,1.0611145496368408
1501136582.917709,403,1.0604865550994873
1501136583.117121,404,1.059946060180664
1501136583.317686,405,1.0593149662017822
1501136583.518172,406,1.0586509704589844
1501136583.718221,407,1.058019757270813
1501136583.914104,408,1.0573618412017822
1501136584.121711,409,1.0567514896392822
1501136584.333353,410,1.056044340133667
1501136584.539354,411,1.055361270904541
1501136584.732591,412,1.054689884185791
1501136584.929465,413,1.054048776626587
1501136585.137112,414,1.053270936012268
1501136585.337245,415,1.052541732788086
1501136585.540585,416,1.0517889261245728
1501136585.740744,417,1.0510245561599731
1501136585.935883,418,1.050277590751648
1501136586.140369,419,1.0494275093078613
1501136586.347085,420,1.0486316680908203
1501136586.554049,421,1.047736644744873
1501136586.748206,422,1.046887993812561
1501136586.945396,423,1.0460081100463867
1501136587.146362,424,1.0450929403305054
1501136587.349968,425,1.0441200733184814
1501136587.553358,426,1.043123483657837
1501136587.749497,427,1.042086124420166
1501136587.947655,428,1.0410618782043457
1501136588.15098,429,1.039963722229004
1501136588.35009,430,1.0388188362121582
1501136588.55508,431,1.0376529693603516
1501136588.756413,432,1.0363726615905762
1501136588.949194,433,1.035136103630066
1501136589.150258,434,1.0337437391281128
1501136589.363623,435,1.0323846340179443
1501136589.560132,436,1.0308775901794434
1501136589.758973,437,1.0293710231781006
1501136589.958334,438,1.027734637260437
1501136590.170538,439,1.026064395904541
1501136590.374435,440,1.0242624282836914
1501136590.579957,441,1.0223921537399292
1501136590.776714,442,1.0203808546066284
1501136590.973217,443,1.0182180404663086
1501136591.184425,444,1.0160821676254272
1501136591.376108,445,1.0137138366699219
1501136591.584385,446,1.0111101865768433
1501136591.78557,447,1.0084352493286133
1501136591.994782,448,1.0055747032165527
1501136592.248273,449,1.0025326013565063
1501136592.453575,450,0.999238133430481
1501136592.657814,451,0.9959204196929932
1501136592.862497,452,0.9921671152114868
1501136593.07522,453,0.9882804155349731
1501136593.298155,454,0.9840490818023682
1501136593.501606,455,0.9796417951583862
1501136593.79861,456,0.975189745426178
1501136594.085762,457,0.9700690507888794
1501136594.291689,458,0.9648842811584473
1501136594.484767,459,0.9596231579780579
1501136594.760584,460,0.9541493654251099
1501136595.000435,461,0.9482349753379822
1501136595.288516,462,0.9424336552619934
1501136595.541827,463,0.9363391399383545
1501136595.756001,464,0.9302725195884705
1501136595.970502,465,0.9242677688598633
1501136596.192893,466,0.9184832572937012
1501136596.437602,467,0.9126840233802795
1501136596.641724,468,0.9071325659751892
1501136596.900455,469,0.9017640352249146
1501136597.182906,470,0.8966108560562134
1501136597.422323,471,0.8917959928512573
1501136597.659056,472,0.8872911930084229
1501136597.906442,473,0.8829268217086792
1501136598.156785,474,0.8791019320487976
1501136598.421414,475,0.8754643201828003
1501136598.662382,476,0.8722037076950073
1501136598.871552,477,0.8690214157104492
1501136599.127321,478,0.8660469651222229
1501136599.374442,479,0.8634292483329773
1501136599.617202,480,0.8611907362937927
1501136599.868307,481,0.8586787581443787
1501136600.147307,482,0.8568065762519836
1501136600.400368,483,0.8549706339836121
1501136600.634451,484,0.8531761765480042
1501136600.956833,485,0.8511475920677185
1501136601.368201,486,0.8501489162445068
1501136601.625988,487,0.8484786152839661
1501136601.821258,488,0.847133994102478
1501136602.019295,489,0.846015453338623
1501136602.229315,490,0.8442557454109192
1501136602.607104,491,0.8433963060379028
1501136602.861294,492,0.8419463038444519
1501136603.148275,493,0.8409861922264099
1501136603.415651,494,0.8400657176971436
1501136603.624932,495,0.8392744660377502
1501136603.819896,496,0.838726282119751
1501136604.014261,497,0.8370876908302307
1501136604.227696,498,0.8364259600639343
1501136604.423111,499,0.8355636596679688
1501136604.633683,500,0.8345884084701538
1501136604.82826,501,0.8339415788650513
1501136605.02379,502,0.8332731127738953
1501136605.314715,503,0.8328437209129333
1501136605.517068,504,0.8317735195159912
1501136605.719718,505,0.8308068513870239
1501136605.916464,506,0.8301491737365723
1501136606.117917,507,0.8297879695892334
1501136606.32137,508,0.8288570642471313
1501136606.517057,509,0.8279959559440613
1501136606.724762,510,0.8275479078292847
1501136606.918625,511,0.8269562125205994
1501136607.125366,512,0.8265379071235657
1501136607.329602,513,0.8252156972885132
1501136607.528509,514,0.8248810768127441
1501136607.735601,515,0.8242779970169067
1501136607.929252,516,0.8235630989074707
1501136608.136035,517,0.8232510089874268
1501136608.334589,518,0.8226792812347412
1501136608.598521,519,0.8226116895675659
1501136608.898093,520,0.8216085433959961
1501136609.098991,521,0.8207359910011292
1501136609.305169,522,0.820358157157898
1501136609.508537,523,0.8193047046661377
1501136609.724975,524,0.8192571997642517
1501136609.979896,525,0.8186194896697998
1501136610.230043,526,0.8184090852737427
1501136610.458563,527,0.8173869252204895
1501136610.668959,528,0.817191481590271
1501136610.864761,529,0.8162983059883118
1501136611.077314,530,0.8160463571548462
1501136611.281287,531,0.8159926533699036
1501136611.54462,532,0.8151702880859375
1501136611.819079,533,0.8144806623458862
1501136612.019846,534,0.8140135407447815
1501136612.24279,535,0.8139181137084961
1501136612.440484,536,0.813685417175293
1501136612.646179,537,0.8128820061683655
1501136612.850201,538,0.8125738501548767
1501136613.043236,539,0.8125459551811218
1501136613.276172,540,0.8123780488967896
1501136613.501409,541,0.8115437030792236
1501136613.70306,542,0.8110538125038147
1501136613.90371,543,0.8105449676513672
1501136614.223802,544,0.8100042939186096
1501136614.422611,545,0.810322105884552
1501136614.630544,546,0.8094320893287659
1501136614.826596,547,0.8097659945487976
1501136615.025453,548,0.8094186186790466
1501136615.238639,549,0.8085467219352722
1501136615.436271,550,0.8081889748573303
1501136615.649323,551,0.8075573444366455
1501136615.853145,552,0.8080949783325195
1501136616.050438,553,0.8072991967201233
1501136616.269335,554,0.8069655299186707
1501136616.4742,555,0.8070151209831238
1501136616.679964,556,0.806563138961792
1501136616.876418,557,0.8061521053314209
1501136617.131841,558,0.8061424493789673
1501136617.343609,559,0.8058257699012756
1501136617.549895,560,0.8049551844596863
1501136617.753299,561,0.8052312135696411
1501136617.958631,562,0.8046693801879883
1501136618.169473,563,0.8046695590019226
1501136618.399429,564,0.8044741153717041
1501136618.641727,565,0.804182231426239
1501136618.862957,566,0.803303599357605
1501136619.084974,567,0.8029377460479736
1501136619.333047,568,0.8028358817100525
1501136619.576846,569,0.8025436997413635
1501136619.804557,570,0.8029206991195679
1501136620.025157,571,0.8020029664039612
1501136620.266159,572,0.8022142648696899
1501136620.496786,573,0.8012310266494751
1501136620.733429,574,0.8010890483856201
1501136620.974517,575,0.8016747236251831
1501136621.220709,576,0.8003979921340942
1501136621.448917,577,0.8004795908927917
1501136621.676066,578,0.8001240491867065
1501136621.893535,579,0.7994074821472168
1501136622.128853,580,0.7998313903808594
1501136622.363223,581,0.7989546060562134
1501136622.603876,582,0.7987967729568481
1501136622.831328,583,0.79793781042099
1501136623.042652,584,0.7982781529426575
1501136623.275723,585,0.7977045178413391
1501136623.507116,586,0.7980122566223145
1501136623.736906,587,0.7972331047058105
1501136623.961687,588,0.7977055907249451
1501136624.203829,589,0.7969315648078918
1501136624.418606,590,0.7962824106216431
1501136624.65883,591,0.7968561053276062
1501136624.901621,592,0.7955636382102966
1501136625.151923,593,0.7959343194961548
1501136625.395953,594,0.7961636781692505
1501136625.627172,595,0.7950884103775024
1501136625.847911,596,0.7942154407501221
1501136626.073652,597,0.7942664623260498
1501136626.304842,598,0.7943735122680664
1501136626.52262,599,0.7936781644821167
1501136626.75179,600,0.7933523058891296
1501136626.98274,601,0.7931780219078064
1501136627.221896,602,0.7932608127593994
1501136627.449695,603,0.7928744554519653
1501136627.680136,604,0.7917995452880859
1501136627.905288,605,0.7916151881217957
